model_uid,x,y,z
a5424e31066c499f952540f44ba3c9fb,,,
c6bb488cd2ca40808b8addbd31a1344a,,,
045f8ff967db4e59b1ea72f615e274a2,,,
1bfd7be327824cec9d8dea6f66cb3117,,,
9823d08642dc425ba415a7ea02107124,,,
bfcfa9cbb3dc46a0914abed5e28c481d,,,
db05df0982ea4109a18831b539e3b41c,,,
a015121e452a489993ca2423f33134e4,,,
ebd40b3a66934aa69d847b8e138ab752,,,
b2c2d4fe18cd4ed3a52d0ed5436c8a7b,,,
18e04c20160c4e3faf255b0e0398bd29,,,
53b0ab3c4dff4523be034f3cb706605a,,,
8f504dec973245fb8f81f968b76f1a20,,,
e600b255d20247fa84a8c0df2ef6453b,,,
cca48579ac734c0aac2fcb857dbfc308,,,
ac26017ad8644c248424e3e3b000be97,,,
a46d06f66082452a9e550a703073c562,,,
683b5475dbff4e7cb33621b419863291,,,
80fbff48c2c34570a510d6a1201e1c71,,,
242d05dd901b4bbba47c04a2b762f908,,,
6d8cb219ed874d028360a80b6363838c,,,
994e29be1d55484f846b528ee6e5d653,,,
ed91875db8ba418485cf52af6619669c,,,
3a794ad2c7254a85ae252f8a5cd9c229,,,
54c5114b35b2473bb5aad0d0a0aaec06,,,
6dc1127c0eba4c60a5f23f01bb2e89b7,,,
cdd998cfcc47461cb3e40530a786afff,,,
53ac11fc6728459b90a89ec0bc95cdb2,,,
062943f3da5d45eca2ee3d40a1b876ff,,,
2545ce0624b44c9e946e5b07bfc0f629,,,
27e6f055778a434392153f9248315a23,,,
bd55c4fc5f6e47cfb3adbb465bc3d716,,,
2f9734b9fba644c6b675145e750420e0,,,
0e530feed0c9468eb89b561dc806a73a,,,
848b4a7f96b64ae8a65d68b4ecaf49df,,,
0dd6c5f21bb0425db9456b0751abf300,,,
5aa261502571499397ec27516dc154a6,,,
8dd733c2c24f4fa0b95b57c2519eb3aa,,,
756636db0e01463b9692d3c064f1037a,,,
fdfc02bd318c4ff2bed3674b19048706,,,
6f31beeeebf742cc82ea8db85ed4db7b,,,
f92dc128139b49aa978df533a37b0292,,,
4bbdd5346c6e44209f637dcf15b96fa8,,,
53b33186c5984e6daf2f83411075fdc9,,,
aa4ddd5b5a7347dba86d25d1c494f965,,,
fbe3c9a2a129485dbfc1d91e1c12a4b2,,,
70e2b8675642407e8830d5b157dfb4c2,,,
71651c0b2f5e445580acf2109e52f617,,,
38d84827983b468e88a617ca55d6a9d2,,,
8caa32bc718b4db3aee000e65fd330fb,,,
323708db848c4dadae3a7b7ad0da3093,,,
b7adb8f8062841578a2837518b3b6a6d,,,
d195454655d541288de52b9992ee6ae2,,,
93fb5d18120344aa9f414478c9ddbf85,,,
7268b5993fe2471bb3029be390e4ca69,,,
3a53993b63414200bc6463b11046882c,,,
57d1188d535d4839a690682762a9bb0e,,,
b963f9fcc3574e868274eeafc1211bc6,,,
4fec52a873124837a41a2f4808391f40,,,
d2df5af700ec4942a0d89e29e55a1ca5,,,
ec9bb33226ae40fda02d0a750b4579a7,,,
47a35073dd604c0d8e1cb70ba371214d,,,
7edd79c7145b4a228c5e6ecf7b2b259c,,,
ee546b9e04844637a9a2ff21618462c4,,,
bf37418b507449cc93e9ad9b65b3e5fa,,,
ca027079468a46008a7521eeecf434ba,,,
94678a9cd3584a6daa3d4d4612d30571,,,
6071d09214d944c38e3425d939eccab2,,,
d7d8a69734d942e889f6f175ceb2572b,,,
9d1f20e6707540fabed9bd46cf346a77,,,
2866598f23dd486ab03d203518c59638,,,
70e1eb3e0c82470180c949591ba94148,,,
ec93c53a80d749c69e4a109668410f94,,,
cda570a9a10e43cfbd0ef0ebe94c0eeb,,,
6d5a9f11ca054b4fb58ed2f5e8c254b2,,,
5aa7a548d1d94064ae20b827a106efd4,,,
be2ee7d6271d49ef809ea58498269460,,,
47e5e5207f144f919f8c5723d9bb024b,,,
7808e25e62ae458db8cdacfe8fa3b4f5,,,
